Estimate,Est.Error,Q2.5,Q97.5
0.3369354532371745,0.15262505585340053,0.032611686096485355,0.631011031938171
-0.011961252002829626,0.0037387943514096632,-0.01934816183075494,-0.004671960585422482
0.006377230448341433,0.0011559380404434288,0.004175931668688884,0.008713476612943938
-0.013049683855919961,0.007133199505579764,-0.02705258967887298,0.0010044061813692805
-0.6448984359810889,0.12691942370869078,-0.8979779192904972,-0.40723131747598
0.23777391871213063,0.03986586292530373,0.1620824070380612,0.3194025988803471
0.1421391873288958,0.03876400374047205,0.06709086776511804,0.21966670794006174
1.6602941572786283e-4,1.7962199308615428e-4,-1.8774693660011013e-4,5.195804390918883e-4
-0.003081605770611671,0.0023562158142043763,-0.007663674974682135,0.0016823369677486449
0.06042538916179181,0.0366100851183818,-0.011650967626383422,0.13490470245166192
0.001874770276098091,0.001791766030827765,-0.0016130871304817446,0.005413301999951385
