Estimate,Est.Error,Q2.5,Q97.5
0.34060455955835317,0.2407302563799455,-0.14082589082765834,0.8129397328712505
-0.019008906781258744,0.006877308513591124,-0.033402989135879385,-0.0065079100871096385
0.006226474655573914,0.0013586583794611637,0.0036545934093903773,0.008943870635110315
-0.022309839780045942,0.012716536096460502,-0.04769148259599187,0.0019824798871275954
-0.3167885487948181,0.17658416654583295,-0.6690317269216852,0.02855617437233976
0.21569187800809914,0.050532219607612776,0.12126208989677324,0.3198119398220399
0.14732458597976936,0.0598216355026826,0.03377592928569966,0.26970002539509647
2.198114518917875e-4,3.4487381428445675e-4,-4.513829363939606e-4,9.138078403551496e-4
-0.004186536987498401,0.0037765783772768804,-0.011755608898283159,0.003274121047562111
0.055566726345129235,0.07463398208663938,-0.09338796817573393,0.20532301453971732
0.003727817756835884,0.0020424388399157153,-2.521790177137173e-4,0.007798100061093426
