Estimate,Est.Error,Q2.5,Q97.5
0.6248428372241832,0.2411576540592061,0.15020580081951895,1.1012134481074176
0.005159983410118996,0.0013476116631382644,0.0025703439410466053,0.00787342811895208
-0.01505971603864879,0.0056836190344382986,-0.02641105325759665,-0.004058342224313487
-0.03955214167905713,0.010519518326775838,-0.060770308271727635,-0.019173703671690332
-0.10850201600579124,0.14708560040498297,-0.4051587849990886,0.17322154663359185
0.18566397022966966,0.045140733447983306,0.10116120779677906,0.2783842454836355
0.009068924115220851,0.00480839016208559,-3.148095869668823e-4,0.018668203590987833
0.0027859471145203923,0.0219430948858068,-0.0415943112950756,0.044729630189828694
4.33476159756493e-4,4.62549765409902e-4,-4.5894167111845485e-4,0.0013783051279315816
8.432238879154424e-4,0.004247344538749595,-0.007461800592059248,0.009332856945874933
0.026019934123402404,0.0188764780934927,-0.011579925047538247,0.06241348473185979
-0.06714423037983104,0.04567051495114372,-0.1579572409608948,0.02144500388235674
0.05751164693413155,0.08174050301890466,-0.104746866682436,0.22173860152817607
